geneID,geneName,X1..1,X1..2,X1..3,X2..1,X2..2,X2..3,X3..1,X3..2,X3..3,X4..1,X4..2,X4..3
ENSMUSG00000072694,1500011B03Rik,98,151,107,78,98,83,101,132,100,59,99,93
ENSMUSG00000097247,1500012K07Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000098702,1500015A07Rik,9,4,1,7,11,14,3,9,11,9,5,0
ENSMUSG00000094732,1500015L24Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097383,1500026H17Rik,5,11,3,0,4,6,10,3,31,0,5,14
ENSMUSG00000117718,1500032F14Rik,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000059631,1500035N22Rik,3,11,4,4,1,3,0,3,4,4,1,1
ENSMUSG00000043747,1520401A03Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000117232,1600002D24Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101585,1600010M07Rik,114,201,173,160,149,165,98,170,199,138,177,119
ENSMUSG00000050088,1600012H06Rik,130,155,148,99,117,121,107,108,156,106,138,98
ENSMUSG00000047661,1600012P17Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000054676,1600014C10Rik,438,417,529,412,562,439,394,407,446,399,522,338
ENSMUSG00000094690,1600014C23Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102505,1600017P15Rik,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000099429,1600019K03Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097048,1600020E01Rik,23,39,19,30,45,36,54,33,76,9,13,20
ENSMUSG00000117315,1600022D10Rik,13,12,9,10,9,4,0,0,12,6,2,14
ENSMUSG00000104986,1600023N17Rik,0,0,0,0,1,0,0,2,1,0,0,0
ENSMUSG00000085114,1600025M17Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000110340,1600027J07Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000057818,1600029O15Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000047150,1700001C19Rik,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000099419,1700001D01Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000095384,1700001F09Rik,0,0,0,0,0,0,0,0,0,0,0,0
